GroupID,Year,Area,TLC,X,Y,MainPlace,Municipality,District,Province
1000042,2005,Woodhill                                                                                                                                                                                                                                                  ,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000049,2006,Greenturf                                                                                                                                                                                                                                                 ,U,31.03,-29.72,Phoenix,eThekwini,eThekwini,KwaZulu-Natal
1000050,2006,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000051,2006,La Lucia                                                                                                                                                                                                                                                  ,Northern Durban MLC,31.05,-29.74,Umhlanga,eThekwini,eThekwini,KwaZulu-Natal
1000052,2006,Westridge                                                                                                                                                                                                                                                 ,Central Cape Town MLC,18.6,-34.05,Mitchells Plain,City of Cape Town,City of Cape Town,Western Cape
1000053,2006,Woodhill                                                                                                                                                                                                                                                  ,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000054,2006,Dinokana                                                                                                                                                                                                                                                  ,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000055,2006,Driekoppies                                                                                                                                                                                                                                               ,Bochum/ My Darling RLC,28.7,-23.22,Driekopies,Blouberg,Capricorn,Limpopo
1000055,2006,Driekoppies                                                                                                                                                                                                                                               ,Nkomazi West TRC,31.56,-25.7,Driekoppies,Nkomazi,Ehlanzeni,Mpumalanga
1000056,2006,Khayalitsha                                                                                                                                                                                                                                               ,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000057,2006,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000059,2006,Peacetown                                                                                                                                                                                                                                                 ,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000060,2006,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000062,2007,Dinokana                                                                                                                                                                                                                                                  ,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000063,2007,Khayalitsha                                                                                                                                                                                                                                               ,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000064,2007,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000065,2007,Peacetown                                                                                                                                                                                                                                                 ,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000066,2007,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000068,2007,Kabega                                                                                                                                                                                                                                                    ,,25.49,-33.94,Port Elizaberth,Nelson Mandela Bay,Nelson Mandela Bay,Eastern Cape
1000069,2007,Woodhill                                                                                                                                                                                                                                                  ,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000071,2008,Woodhill                                                                                                                                                                                                                                                  ,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000075,2008,Dinokana                                                                                                                                                                                                                                                  ,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000076,2008,Khayalitsha                                                                                                                                                                                                                                               ,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000077,2008,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000078,2008,Peacetown                                                                                                                                                                                                                                                 ,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000079,2008,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000081,2009,Dinokana                                                                                                                                                                                                                                                  ,Central District Council,25.88,-25.45,Dinokana,Ramotshere Moiloa,Ngaka Modiri Molema,North West
1000082,2009,Khayalitsha                                                                                                                                                                                                                                               ,,18.67,-34.03,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape
1000083,2009,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000084,2009,Peacetown                                                                                                                                                                                                                                                 ,,29.74,-28.45,PeaceTown,Emnambithi/Ladysmith,Uthukela,KwaZulu-Natal
1000085,2009,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000087,2009,Woodhill                                                                                                                                                                                                                                                  ,U,22.66,-33.93,George NU,George,Eden,Western Cape
1000088,2009,Ga-Nkoane                                                                                                                                                                                                                                                ,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000089,2009,Wattville                                                                                                                                                                                                                                                ,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000092,2009,Matshana                                                                                                                                                                                                                                                 ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000093,2009,Vlaklaagte                                                                                                                                                                                                                                               ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000095,2010,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000097,2010,Ga-Luka                                                                                                                                                                                                                                                   ,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000098,2010,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000099,2010,Wattville                                                                                                                                                                                                                                                 ,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000102,2010,Ga-Nkoane                                                                                                                                                                                                                                                 ,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000103,2010,Hankey                                                                                                                                                                                                                                                    ,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000104,2011,Ga-Luka                                                                                                                                                                                                                                                   ,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000105,2011,Ga-Nkoane                                                                                                                                                                                                                                                 ,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000106,2011,Hankey                                                                                                                                                                                                                                                    ,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000107,2011,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000108,2011,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000109,2011,Wattville                                                                                                                                                                                                                                                 ,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000111,2012,Ga-Luka                                                                                                                                                                                                                                                   ,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000112,2012,Ga-Nkoane                                                                                                                                                                                                                                                 ,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000113,2012,Hankey                                                                                                                                                                                                                                                    ,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000114,2012,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000115,2012,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
1000116,2012,Wattville                                                                                                                                                                                                                                                 ,Benoni,28.3,-26.22,Wattville,Ekurhuleni,Ekurhuleni,Gauteng
1000117,2012,Matsulu                                                                                                                                                                                                                                                   ,Nelspruit,31.33,-25.51,Matsulu,Mbombela,Ehlanzeni,Mpumalanga
1000118,2012,Seloshesa                                                                                                                                                                                                                                                 ,,26.81,-29.19,Thabanchu,Mangaung,Mangaung,Free State
1000119,2012,Butterworth                                                                                                                                                                                                                                               ,Butterworth,28.22,-32.31,Butterworth,Mnquma,Amathole,Eastern Cape
1000122,2013,Ga-Luka                                                                                                                                                                                                                                                   ,Rustenburg District Council,27.18,-25.5,GaLuka,Rustenburg,Bojanala,North West
1000123,2013,Ga-Nkoane                                                                                                                                                                                                                                                 ,,29.77,-24.41,KaMapolaneng,Fetakgomo,Greater Sekhukhune,Limpopo
1000124,2013,Hankey                                                                                                                                                                                                                                                    ,Hankey,24.86,-33.82,Hankey,Kouga,Cacadu,Eastern Cape
1000125,2013,Matshana                                                                                                                                                                                                                                                  ,Uthungulu Regional Council,31.83,-28.74,Empangeni,uMhlathuze,Uthungulu,KwaZulu-Natal
1000126,2013,Vlaklaagte                                                                                                                                                                                                                                                ,Mkobola,28.87,-25.36,Thembisile NU,Thembisile,Nkangala,Mpumalanga
